Name,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
Ginga Eiyuu Densetsu,OVA,110,Finished Airing,"Jan 8, 1988 to Mar 17, 1997","Tokuma Japan Communications, TV Tokyo, Tokuma Shoten, Kitty Films",Sentai Filmworks,"Kitty Film Mitaka Studio, K-Factory",Novel,"Drama, Sci-Fi","Space, Military",26 min. per ep.,R - 17+ (violence & profanity),"9.03 scored by 60,742 users",#11,#694,"274,161","14,281"
Gintama': Enchousen,TV,13,Finished Airing,"Oct 4, 2012 to Mar 28, 2013","Dentsu, TV Tokyo, Miracle Bus, Shueisha, Aniplex","None found, add some",Sunrise,Manga,"Sci-Fi, Action, Comedy","Samurai, Parody, Historical",24 min. per ep.,PG-13 - Teens 13 or older,"9.04 scored by 137,714 users",#10,#693,"274,317","2,696"
Fruits Basket: The Final,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021","Avex Pictures, TV Tokyo, Nihon Ad Systems, Hakusensha, TMS Music, TV Osaka",Funimation,TMS Entertainment,Manga,"Drama, Slice of Life, Romance, Supernatural",,23 min. per ep.,PG-13 - Teens 13 or older,"9.04 scored by 145,081 users",#9,#566,"324,894","15,045"
Hunter x Hunter (2011),TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014","Shueisha, Nippon Television Network, VAP",VIZ Media,Madhouse,Manga,"Adventure, Action, Fantasy",Super Power,23 min. per ep.,PG-13 - Teens 13 or older,"9.05 scored by 1,349,214 users",#8,#11,"2,296,870","176,155"
Gintama: The Final,Movie,1,Finished Airing,"Jan 8, 2021","TV Tokyo, Warner Bros. Japan",Eleven Arts,Bandai Namco Pictures,Manga,"Drama, Sci-Fi, Action, Comedy","Samurai, Parody, Historical",1 hr. 44 min.,PG-13 - Teens 13 or older,"9.05 scored by 40,122 users",#7,#1782,"94,343","3,278"
Gintama',TV,51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012","Dentsu, Trinity Sound, TV Tokyo, Miracle Robo, Shueisha, Studio Jack, Aniplex","None found, add some",Sunrise,Manga,"Sci-Fi, Action, Comedy","Samurai, Parody, Historical",24 min. per ep.,PG-13 - Teens 13 or older,"9.06 scored by 189,123 users",#6,#382,"456,024","6,791"
Shingeki no Kyojin: The Final Season Part 2,TV,12,Currently Airing,"Jan 10, 2022 to Apr 4, 2022","Dentsu, Production I.G, Pony Canyon Enterprise, Pony Canyon, Kodansha, Mainichi Broadcasting System","None found, add some",MAPPA,Manga,"Drama, Mystery, Action, Fantasy","Super Power, Military",23 min. per ep.,R - 17+ (violence & profanity),"9.07 scored by 206,606 users",#5,#186,"740,197","21,523"
Shingeki no Kyojin Season 3 Part 2,TV,10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019","Dentsu, Production I.G, Pony Canyon Enterprise, Pony Canyon, Kodansha, Mainichi Broadcasting System, Techno Sound",Funimation,Wit Studio,Manga,"Drama, Mystery, Action, Fantasy","Super Power, Military",23 min. per ep.,R - 17+ (violence & profanity),"9.08 scored by 1,215,338 users",#4,#31,"1,761,485","49,323"
Steins;Gate,TV,24,Finished Airing,"Apr 6, 2011 to Sep 14, 2011","Kadokawa Pictures Japan, Nitroplus, Movic, Media Factory, Frontier Works, AT-X",Funimation,White Fox,Visual novel,"Drama, Sci-Fi, Suspense",Psychological,24 min. per ep.,PG-13 - Teens 13 or older,"9.09 scored by 1,164,864 users",#3,#13,"2,188,830","167,263"
Gintama°,TV,51,Finished Airing,"Apr 8, 2015 to Mar 30, 2016","Dentsu, TV Tokyo, Aniplex","Crunchyroll, Funimation",Bandai Namco Pictures,Manga,"Sci-Fi, Action, Comedy","Samurai, Parody, Historical",24 min. per ep.,PG-13 - Teens 13 or older,"9.09 scored by 183,234 users",#2,#336,"518,187","13,757"
Fullmetal Alchemist: Brotherhood,TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010","Mainichi Broadcasting System, Square Enix, Studio Moriken, Aniplex","Aniplex of America, Funimation",Bones,Manga,"Drama, Adventure, Action, Fantasy, Comedy",Military,24 min. per ep.,R - 17+ (violence & profanity),"9.15 scored by 1,709,648 users",#1,#3,"2,817,920","197,688"
Great Teacher Onizuka,TV,43,Finished Airing,"Jun 30, 1999 to Sep 17, 2000","Fuji TV, Aniplex","Tokyopop, Discotek Media",Studio Pierrot,Manga,"Drama, Comedy",School,25 min. per ep.,R - 17+ (violence & profanity),"8.69 scored by 332,983 users",#50,#212,"707,051","22,602"
Jujutsu Kaisen (TV),TV,24,Finished Airing,"Oct 3, 2020 to Mar 27, 2021","Mainichi Broadcasting System, TOHO animation, Sumzap, Shueisha, dugout","None found, add some",MAPPA,Manga,"Supernatural, Action","School, Demons",23 min. per ep.,R - 17+ (violence & profanity),"8.70 scored by 1,064,622 users",#49,#32,"1,753,178","65,575"
Code Geass: Hangyaku no Lelouch,TV,25,Finished Airing,"Oct 6, 2006 to Jul 29, 2007","Bandai Namco Entertainment, Mainichi Broadcasting System, Bandai Visual, Sony Music Entertainment, Hakuhodo DY Media Partners, Bandai","Bandai Entertainment, Funimation",Sunrise,Original,"Drama, Sci-Fi, Action","Super Power, School, Mecha, Military",24 min. per ep.,R - 17+ (violence & profanity),"8.70 scored by 1,194,903 users",#48,#17,"1,945,502","97,315"
86 Part 2,TV,12,Finished Airing,"Oct 3, 2021 to Mar 19, 2022","Kadokawa, Bandai Spirits, Aniplex","None found, add some",A-1 Pictures,Light novel,"Drama, Sci-Fi, Action","Mecha, Military",23 min. per ep.,R - 17+ (violence & profanity),"8.70 scored by 87,867 users",#47,#726,"262,183","6,083"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,Finished Airing,"Feb 20, 1999 to Sep 22, 1999",Aniplex,"Aniplex of America, ADV Films",Studio Deen,Manga,"Drama, Romance, Action","Samurai, Martial Arts, Historical",30 min. per ep.,R - 17+ (violence & profanity),"8.71 scored by 125,685 users",#46,#757,"253,664","5,833"
Mushishi Zoku Shou,TV,10,Finished Airing,"Apr 5, 2014 to Jun 21, 2014","Delfi Sound, Kodansha, Aniplex",Aniplex of America,Artland,Manga,"Slice of Life, Adventure, Fantasy, Mystery, Supernatural",Historical,24 min. per ep.,PG-13 - Teens 13 or older,"8.71 scored by 102,346 users",#45,#718,"264,629","1,400"
Mo Dao Zu Shi: Wanjie Pian,ONA,12,Finished Airing,"Aug 7, 2021 to Oct 16, 2021",Tencent Penguin Pictures,"None found, add some",B.CMAY PICTURES,Web novel,"Drama, Supernatural, Action","Demons, Historical",24 min. per ep.,R - 17+ (violence & profanity),"8.71 scored by 12,127 users",#44,#2540,"52,223","1,170"
Ashita no Joe 2,TV,47,Finished Airing,"Oct 13, 1980 to Aug 31, 1981",Annapuru,"None found, add some",Tokyo Movie Shinsha,Manga,"Drama, Slice of Life, Sports, Action",,24 min. per ep.,PG-13 - Teens 13 or older,"8.71 scored by 15,017 users",#43,#2930,"40,207","2,006"
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,1,Finished Airing,"Aug 15, 2020","Notes, Kadokawa, Aniplex",Aniplex of America,ufotable,Visual novel,"Supernatural, Action, Fantasy",,2 hr. 2 min.,R - 17+ (violence & profanity),"8.72 scored by 126,527 users",#42,#737,"260,208","6,440"
Vinland Saga,TV,24,Finished Airing,"Jul 8, 2019 to Dec 30, 2019","Dentsu, Production I.G, Kodansha, Twin Engine",Sentai Filmworks,Wit Studio,Manga,"Adventure, Action, Drama",Historical,24 min. per ep.,R - 17+ (violence & profanity),"8.73 scored by 543,258 users",#41,#105,"1,049,814","30,611"
Hajime no Ippo,TV,75,Finished Airing,"Oct 4, 2000 to Mar 27, 2002",VAP,"Geneon Entertainment USA, Discotek Media",Madhouse,Manga,"Drama, Sports, Comedy",,23 min. per ep.,PG-13 - Teens 13 or older,"8.74 scored by 218,247 users",#40,#372,"467,712","17,078"
Mushishi Zoku Shou 2nd Season,TV,10,Finished Airing,"Oct 19, 2014 to Dec 21, 2014","Delfi Sound, Kodansha, Aniplex",Aniplex of America,Artland,Manga,"Slice of Life, Adventure, Fantasy, Mystery, Supernatural",Historical,23 min. per ep.,PG-13 - Teens 13 or older,"8.74 scored by 89,706 users",#39,#818,"232,230","1,271"
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,Finished Airing,"Jan 7, 2017 to Mar 25, 2017","King Records, DAX Production, Kodansha, Mainichi Broadcasting System","None found, add some",Studio Deen,Manga,,Historical,24 min. per ep.,PG-13 - Teens 13 or older,"8.75 scored by 56,039 users",#38,#1137,"166,311","2,874"
Odd Taxi,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021","Pony Canyon Enterprise, Pony Canyon","None found, add some","P.I.C.S., OLM",Original,,,23 min. per ep.,PG-13 - Teens 13 or older,"8.76 scored by 127,220 users",#37,#685,"279,294","5,769"
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,12,Finished Airing,"Oct 4, 2021 to Dec 20, 2021","None found, add some",Funimation,Studio Bind,Light novel,"Drama, Ecchi, Fantasy",,23 min. per ep.,R - 17+ (violence & profanity),"8.76 scored by 284,665 users",#36,#327,"534,574","12,896"
Cowboy Bebop,TV,26,Finished Airing,"Apr 3, 1998 to Apr 24, 1999",Bandai Visual,"Bandai Entertainment, Funimation",Sunrise,Original,"Drama, Sci-Fi, Adventure, Action, Comedy",Space,24 min. per ep.,R - 17+ (violence & profanity),"8.76 scored by 767,603 users",#35,#42,"1,574,198","69,772"
Kingdom 3rd Season,TV,26,Finished Airing,"Apr 6, 2020 to Oct 17, 2021","Shueisha, NHK",Funimation,"Pierrot Plus, Studio Signpost",Manga,,"Historical, Military",25 min. per ep.,R - 17+ (violence & profanity),"8.78 scored by 14,977 users",#34,#2263,"64,174","1,180"
Monogatari Series: Second Season,TV,26,Finished Airing,"Jul 7, 2013 to Dec 29, 2013","Cyclone Graphics, Kodansha, Aniplex",Aniplex of America,Shaft,Light novel,"Supernatural, Mystery, Romance, Comedy",Vampire,25 min. per ep.,R - 17+ (violence & profanity),"8.78 scored by 314,714 users",#33,#269,"599,359","21,997"
Sen to Chihiro no Kamikakushi,Movie,1,Finished Airing,"Jul 20, 2001",Toho,"Disney Platform Distribution, GKIDS",Studio Ghibli,Original,"Adventure, Supernatural, Drama, Award Winning",,2 hr. 4 min.,PG - Children,"8.79 scored by 1,096,313 users",#32,#43,"1,570,815","27,571"
Ousama Ranking,TV,23,Finished Airing,"Oct 15, 2021 to Mar 25, 2022","Dentsu, Kadokawa, Fuji TV, Aniplex",Funimation,Wit Studio,Web manga,"Adventure, Fantasy",,22 min. per ep.,PG-13 - Teens 13 or older,"8.79 scored by 96,845 users",#31,#571,"322,223","6,672"
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,Finished Airing,"Oct 8, 2016 to Dec 10, 2016","Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Sony Music Entertainment, Shueisha",Sentai Filmworks,Production I.G,Manga,"Drama, Sports, Comedy",School,24 min. per ep.,PG-13 - Teens 13 or older,"8.80 scored by 662,724 users",#30,#111,"1,006,029","14,162"
Shiguang Dailiren,ONA,11,Finished Airing,"Apr 30, 2021 to Jul 9, 2021","BeDream, bilibili",Funimation,Studio LAN,Original,"Drama, Supernatural",,23 min. per ep.,PG-13 - Teens 13 or older,"8.81 scored by 56,084 users",#29,#1002,"189,749","6,123"
Mob Psycho 100 II,TV,13,Finished Airing,"Jan 7, 2019 to Apr 1, 2019","KlockWorx, Hakuhodo DY Music & Pictures, Shogakukan, BS Fuji, Warner Bros. Japan",Funimation,Bones,Web manga,"Slice of Life, Supernatural, Action, Comedy",,24 min. per ep.,PG-13 - Teens 13 or older,"8.81 scored by 728,399 users",#28,#86,"1,191,014","27,499"
Kizumonogatari III: Reiketsu-hen,Movie,1,Finished Airing,"Jan 6, 2017","Kodansha, Aniplex",Aniplex of America,Shaft,Light novel,"Mystery, Supernatural, Action",Vampire,1 hr. 23 min.,R - 17+ (violence & profanity),"8.81 scored by 225,295 users",#27,#454,"392,556","6,457"
Gintama.: Shirogane no Tamashii-hen,TV,12,Finished Airing,"Jan 8, 2018 to Mar 26, 2018","Shueisha, Dentsu, TV Tokyo, Aniplex","None found, add some",Bandai Namco Pictures,Manga,"Sci-Fi, Action, Comedy","Samurai, Parody, Historical",24 min. per ep.,PG-13 - Teens 13 or older,"8.82 scored by 81,232 users",#26,#1086,"171,603","1,056"
Monster,TV,74,Finished Airing,"Apr 7, 2004 to Sep 28, 2005","Shogakukan-Shueisha Productions, Nippon Television Network, VAP",VIZ Media,Madhouse,Manga,"Drama, Mystery, Suspense",Psychological,24 min. per ep.,R+ - Mild Nudity,"8.82 scored by 261,426 users",#25,#157,"818,820","36,332"
Shingeki no Kyojin: The Final Season,TV,16,Finished Airing,"Dec 7, 2020 to Mar 29, 2021","Dentsu, Production I.G, Pony Canyon Enterprise, Pony Canyon, Kodansha, Mainichi Broadcasting System, Techno Sound",Funimation,MAPPA,Manga,"Drama, Mystery, Action, Fantasy","Super Power, Military",23 min. per ep.,R - 17+ (violence & profanity),"8.87 scored by 928,928 users",#24,#49,"1,513,424","49,823"
Kimi no Na wa.,Movie,1,Finished Airing,"Aug 26, 2016","Toho, Kadokawa, Amuse, JR East Marketing & Communications, voque ting, Sound Team Don Juan","Funimation, NYAV Post",CoMix Wave Films,Original,"Drama, Romance, Supernatural",School,1 hr. 46 min.,PG-13 - Teens 13 or older,"8.87 scored by 1,590,040 users",#23,#10,"2,294,614","79,559"
Death Note,TV,37,Finished Airing,"Oct 4, 2006 to Jun 27, 2007","VAP, Ashi Production, Shueisha, Konami, Nippon Television Network",VIZ Media,Madhouse,Manga,"Mystery, Supernatural, Suspense","Psychological, Detective",23 min. per ep.,R - 17+ (violence & profanity),"8.63 scored by 2,364,734 users",#69,#2,"3,333,344","152,075"
Shingeki no Kyojin Season 3,TV,12,Finished Airing,"Jul 23, 2018 to Oct 15, 2018","Dentsu, Production I.G, Pony Canyon Enterprise, Pony Canyon, Kodansha, Mainichi Broadcasting System, Techno Sound",Funimation,Wit Studio,Manga,"Drama, Mystery, Action, Fantasy","Gore, Survival, Super Power, Military",23 min. per ep.,R - 17+ (violence & profanity),"8.63 scored by 1,289,612 users",#68,#21,"1,894,253","18,022"
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,1,Finished Airing,"Jun 15, 2019","Kadokawa, Hakuhodo DY Music & Pictures, Tokyo MX, Nagoya Broadcasting Network, ABC Animation, BS11, Aniplex",Aniplex of America,CloverWorks,Light novel,"Drama, Romance, Supernatural",School,1 hr. 30 min.,PG-13 - Teens 13 or older,"8.63 scored by 358,590 users",#67,#299,"564,896","8,836"
Kenpuu Denki Berserk,TV,25,Finished Airing,"Oct 8, 1997 to Apr 1, 1998","Hakusensha, Nippon Television Network, VAP","NYAV Post, Media Blasters",OLM,Manga,"Drama, Horror, Adventure, Action, Fantasy, Supernatural","Gore, Mythology, Military",25 min. per ep.,R+ - Mild Nudity,"8.53 scored by 280,454 users",#100,#333,"523,144","21,476"
Karakai Jouzu no Takagi-san 3,TV,12,Finished Airing,"Jan 8, 2022 to Mar 26, 2022","Magic Capsule, Toho Music, TOHO animation",Sentai Filmworks,Shin-Ei Animation,Manga,"Slice of Life, Comedy","Iyashikei, Romantic Subtext, School",24 min. per ep.,PG-13 - Teens 13 or older,"8.53 scored by 34,403 users",#99,#1514,"115,244","1,579"
Gintama.: Porori-hen,TV,13,Finished Airing,"Oct 2, 2017 to Dec 25, 2017","Shueisha, Dentsu, TV Tokyo, Aniplex","None found, add some",Bandai Namco Pictures,Manga,"Sci-Fi, Action, Comedy","Historical, Samurai, Parody, Gag Humor",23 min. per ep.,PG-13 - Teens 13 or older,"8.53 scored by 85,021 users",#98,#1118,"168,259",825
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie,1,Finished Airing,"Jan 12, 2019","Notes, Kadokawa, Aniplex",Aniplex of America,ufotable,Visual novel,"Supernatural, Action, Fantasy",,1 hr. 57 min.,R - 17+ (violence & profanity),"8.53 scored by 177,437 users",#97,#595,"311,344","3,108"
Kara no Kyoukai 5: Mujun Rasen,Movie,1,Finished Airing,"Aug 16, 2008",Notes,Aniplex of America,ufotable,Light novel,"Drama, Romance, Action, Suspense, Mystery, Supernatural",,1 hr. 54 min.,R - 17+ (violence & profanity),"8.54 scored by 120,004 users",#96,#887,"215,616","4,224"
Jujutsu Kaisen 0 Movie,Movie,1,Finished Airing,"Dec 24, 2021",TOHO animation,"None found, add some",MAPPA,Manga,"Supernatural, Action",Mythology,1 hr. 45 min.,R - 17+ (violence & profanity),"8.54 scored by 51,689 users",#95,#538,"339,689","5,683"
Haikyuu!! To the Top 2nd Season,TV,12,Finished Airing,"Oct 3, 2020 to Dec 19, 2020","Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Sony Music Entertainment, Shueisha",Sentai Filmworks,Production I.G,Manga,"Drama, Sports, Comedy","School, Team Sports",23 min. per ep.,PG-13 - Teens 13 or older,"8.54 scored by 363,277 users",#94,#249,"626,070","5,260"
Yuru Camp△ Season 2,TV,13,Finished Airing,"Jan 7, 2021 to Apr 1, 2021","DeNA, Half H.P Studio, MAGES.","None found, add some",C-Station,Manga,"Slice of Life, Comedy","Iyashikei, CGDCT",23 min. per ep.,PG-13 - Teens 13 or older,"8.54 scored by 67,275 users",#93,#1083,"172,993","2,429"
Sora yori mo Tooi Basho,TV,13,Finished Airing,"Jan 2, 2018 to Mar 27, 2018","Sony Music Communications, Kadokawa, Kadokawa Media House, Crunchyroll SC Anime Fund, Movic, Media Factory, NewGin, AT-X, Docomo Anime Store","None found, add some",Madhouse,Original,"Adventure, Drama, Comedy",,23 min. per ep.,PG-13 - Teens 13 or older,"8.54 scored by 186,437 users",#92,#412,"427,895","12,381"
Zoku Natsume Yuujinchou,TV,13,Finished Airing,"Jan 6, 2009 to Mar 31, 2009","Nihon Ad Systems, Aniplex","NIS America, Inc.",Brain's Base,Manga,"Drama, Slice of Life, Supernatural","Iyashikei, Mythology",24 min. per ep.,PG-13 - Teens 13 or older,"8.55 scored by 114,028 users",#91,#848,"224,209","1,353"
Yakusoku no Neverland,TV,12,Finished Airing,"Jan 10, 2019 to Mar 29, 2019","Dentsu, Fuji TV, CA-Cygames Anime Fund, Shueisha, Aniplex",Aniplex of America,CloverWorks,Manga,"Horror, Mystery, Sci-Fi, Suspense","Survival, Psychological",22 min. per ep.,R - 17+ (violence & profanity),"8.55 scored by 1,076,661 users",#90,#39,"1,639,970","30,866"
Neon Genesis Evangelion: The End of Evangelion,Movie,1,Finished Airing,"Jul 19, 1997","Sega, TV Tokyo, TV Tokyo Music, Toei Animation, Movic, Kadokawa Shoten, Audio Tanaka","Manga Entertainment, GKIDS","Gainax, Production I.G",Original,"Drama, Avant Garde, Sci-Fi","Psychological, Mecha",1 hr. 26 min.,R+ - Mild Nudity,"8.55 scored by 510,965 users",#89,#173,"766,887","23,494"
Mushishi: Hihamukage,Special,1,Finished Airing,"Jan 4, 2014","Delfi Sound, Kodansha, Aniplex","None found, add some",Artland,Manga,"Slice of Life, Adventure, Fantasy, Mystery, Supernatural","Iyashikei, Historical",45 min.,PG-13 - Teens 13 or older,"8.55 scored by 59,567 users",#88,#1454,"122,607",166
Bakuman. 3rd Season,TV,25,Finished Airing,"Oct 6, 2012 to Mar 30, 2013","Shueisha, NHK","None found, add some",J.C.Staff,Manga,"Drama, Romance, Comedy",Otaku Culture,24 min. per ep.,PG-13 - Teens 13 or older,"8.55 scored by 178,515 users",#87,#618,"302,345","2,831"
Kimetsu no Yaiba,TV,26,Finished Airing,"Apr 6, 2019 to Sep 28, 2019","Shueisha, Aniplex",Aniplex of America,ufotable,Manga,"Supernatural, Action","Mythology, Historical",23 min. per ep.,R - 17+ (violence & profanity),"8.56 scored by 1,621,130 users",#86,#9,"2,341,065","77,591"
Kimi no Suizou wo Tabetai,Movie,1,Finished Airing,"Sep 1, 2018",Aniplex,Aniplex of America,Studio VOLN,Novel,"Drama, Slice of Life, Romance",,1 hr. 48 min.,PG-13 - Teens 13 or older,"8.57 scored by 441,153 users",#85,#191,"737,281","16,443"
Fruits Basket 2nd Season,TV,25,Finished Airing,"Apr 7, 2020 to Sep 22, 2020","Avex Pictures, TV Tokyo, Nihon Ad Systems, Hakusensha, TMS Music, TV Osaka",Funimation,TMS Entertainment,Manga,"Drama, Slice of Life, Romance, Supernatural, Comedy",,23 min. per ep.,PG-13 - Teens 13 or older,"8.57 scored by 187,302 users",#84,#468,"382,092","4,866"
Fate/Zero 2nd Season,TV,12,Finished Airing,"Apr 8, 2012 to Jun 24, 2012","Seikaisha, Nitroplus, Notes, Aniplex",Aniplex of America,ufotable,Light novel,"Supernatural, Action, Fantasy",,24 min. per ep.,R - 17+ (violence & profanity),"8.57 scored by 629,209 users",#83,#117,"984,473","19,052"
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie,1,Finished Airing,"Apr 22, 2009",Aniplex,Aniplex of America,Gainax,Original,"Sci-Fi, Action","Super Power, Space, Mecha",2 hr. 5 min.,R+ - Mild Nudity,"8.57 scored by 89,673 users",#82,#994,"191,372",867
Yojouhan Shinwa Taikei,TV,11,Finished Airing,"Apr 23, 2010 to Jul 2, 2010","Dentsu, Toho, Fujipacific Music, Asmik Ace, Fuji TV, Tohokushinsha Film Corporation, Sony Music Entertainment, Kadokawa Shoten",Funimation,Madhouse,Novel,"Mystery, Romance, Comedy","Time Travel, Psychological",23 min. per ep.,R - 17+ (violence & profanity),"8.58 scored by 125,642 users",#81,#467,"382,946","16,140"
Shouwa Genroku Rakugo Shinjuu,TV,13,Finished Airing,"Jan 9, 2016 to Apr 2, 2016","DAX Production, Kodansha, Starchild Records, Mainichi Broadcasting System","None found, add some",Studio Deen,Manga,,"Performing Arts, Love Polygon, Historical",26 min. per ep.,PG-13 - Teens 13 or older,"8.58 scored by 85,915 users",#80,#735,"261,357","5,420"
Shoujo☆Kageki Revue Starlight Movie,Movie,1,Finished Airing,"Jun 4, 2021","None found, add some","None found, add some",Kinema Citrus,Original,,"Performing Arts, School, Music",2 hr.,PG-13 - Teens 13 or older,"8.58 scored by 2,321 users",#79,#5886,"8,446",245
Natsume Yuujinchou San,TV,13,Finished Airing,"Jul 5, 2011 to Sep 27, 2011","Sakura Create, Aniplex","NIS America, Inc.",Brain's Base,Manga,"Drama, Slice of Life, Supernatural","Iyashikei, Mythology",24 min. per ep.,PG-13 - Teens 13 or older,"8.58 scored by 106,739 users",#78,#840,"226,942","1,305"
One Piece,TV,Unknown,Currently Airing,"Oct 20, 1999 to ?","Shueisha, TAP, Fuji TV","Funimation, 4Kids Entertainment",Toei Animation,Manga,"Drama, Adventure, Action, Fantasy, Comedy",Super Power,24 min.,PG-13 - Teens 13 or older,"8.63 scored by 1,033,165 users",#66,#26,"1,819,304","157,883"
Natsume Yuujinchou Roku,TV,11,Finished Airing,"Apr 12, 2017 to Jun 21, 2017","Nihon Ad Systems, Hakusensha, TV Tokyo, Aniplex","None found, add some",Shuka,Manga,"Drama, Slice of Life, Supernatural","Iyashikei, Mythology",23 min. per ep.,PG-13 - Teens 13 or older,"8.63 scored by 58,586 users",#65,#1174,"161,402",975
Tengen Toppa Gurren Lagann,TV,27,Finished Airing,"Apr 1, 2007 to Sep 30, 2007","Dentsu, TV Tokyo, Bandai, Half H.P Studio, Konami, Aniplex","Bandai Entertainment, Aniplex of America, ADV Films",Gainax,Original,"Adventure, Sci-Fi, Action, Comedy",Mecha,24 min. per ep.,PG-13 - Teens 13 or older,"8.64 scored by 805,222 users",#64,#57,"1,420,162","70,859"
Natsume Yuujinchou Shi,TV,13,Finished Airing,"Jan 3, 2012 to Mar 27, 2012","TV Tokyo, Nihon Ad Systems, Hakusensha, Sony Music Entertainment, Aniplex","NIS America, Inc.",Brain's Base,Manga,"Drama, Slice of Life, Supernatural","Iyashikei, Mythology",24 min. per ep.,PG-13 - Teens 13 or older,"8.65 scored by 98,059 users",#63,#873,"219,766","1,848"
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,12,Finished Airing,"Apr 11, 2020 to Jun 27, 2020","Shueisha, Mainichi Broadcasting System, JR East Marketing & Communications, Aniplex",Aniplex of America,A-1 Pictures,Manga,,"School, Psychological, Romantic Subtext",24 min. per ep.,PG-13 - Teens 13 or older,"8.65 scored by 645,364 users",#62,#110,"1,025,495","18,432"
Haikyuu!! Second Season,TV,25,Finished Airing,"Oct 4, 2015 to Mar 27, 2016","Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Sony Music Entertainment, Shueisha",Sentai Filmworks,Production I.G,Manga,"Drama, Sports, Comedy","School, Team Sports",24 min. per ep.,PG-13 - Teens 13 or older,"8.65 scored by 804,058 users",#61,#83,"1,209,383","14,845"
Evangelion: 3.0+1.0 Thrice Upon a Time,Movie,1,Finished Airing,"Mar 8, 2021",KlockWorx,"None found, add some",Khara,Original,"Drama, Sci-Fi, Action","Psychological, Mecha",2 hr. 35 min.,PG-13 - Teens 13 or older,"8.65 scored by 94,326 users",#60,#681,"278,856","5,138"
Howl no Ugoku Shiro,Movie,1,Finished Airing,"Nov 20, 2004","d-rights, Tokuma Shoten",Disney Platform Distribution,Studio Ghibli,Novel,"Adventure, Romance, Drama, Fantasy",,1 hr. 59 min.,G - All Ages,"8.66 scored by 760,437 users",#59,#97,"1,098,597","22,517"
Natsume Yuujinchou Go,TV,11,Finished Airing,"Oct 5, 2016 to Dec 21, 2016","Nihon Ad Systems, Hakusensha, TV Tokyo, Aniplex","None found, add some",Shuka,Manga,"Drama, Slice of Life, Supernatural","Iyashikei, Mythology",23 min. per ep.,PG-13 - Teens 13 or older,"8.58 scored by 65,045 users",#77,#1181,"160,697",725
Yoru Ni Kakeru,Music,1,Finished Airing,"Nov 16, 2019",Sony Music Entertainment,"None found, add some","None found, add some",Other,,Music,4 min.,PG-13 - Teens 13 or older,"8.42 scored by 7,162 users",#150,#5296,"10,886",62
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,1,Finished Airing,"Feb 24, 2018","Rakuonsha, Hakuhodo DY Music & Pictures, Lantis, Bandai Visual, Cygames, Shout! Factory, Showgate",Eleven Arts,P.A. Works,Original,"Drama, Fantasy",,1 hr. 55 min.,PG-13 - Teens 13 or older,"8.42 scored by 151,364 users",#149,#529,"345,571","6,007"
